date,sic,count
12-01-06,b-mining-quarrying,1488.6145342211157
12-01-06,g-motor-trades-wholesale-retail,77637.03142982596
12-01-06,s-other-services,9910.23526093939
12-01-06,r-arts-entertainment-recreation,6799.032175454343
12-01-06,q-human-health,50473.13272455644
12-01-06,o-public-admin,7622.851501750194
12-01-06,n-admin-support-services,22862.246187836143
12-01-06,m-professional-scientific-technical,54032.40053314568
12-01-06,l-real-estate,5196.950045179642
12-01-06,p-education,28789.873636923607
12-01-06,j-information-comms,33776.31850732784
12-01-06,i-accomodation-food-services,42624.50902294404
12-01-06,h-transport-storage,14885.60464350562
12-01-06,f-construction,10735.083376270686
12-01-06,e-water-sewerage-waste-etc,1753.9009327966432
12-01-06,d-electricity-gas-etc,2239.629015571185
12-01-06,c-manufacturing,36610.31213053607
12-01-06,k-financial-insurance,21076.89841467314
12-02-03,n-admin-support-services,35708.37886770354
12-02-03,o-public-admin,6036.365109777514
12-02-03,p-education,30428.409172668067
12-02-03,g-motor-trades-wholesale-retail,69935.30078389417
12-02-03,r-arts-entertainment-recreation,8637.159575554939
12-02-03,s-other-services,16770.750816499352
12-02-03,m-professional-scientific-technical,34441.77034856125
12-02-03,q-human-health,53700.36286845298
12-02-03,l-real-estate,5234.813753183278
12-02-03,e-water-sewerage-waste-etc,2126.315794815804
12-02-03,j-information-comms,29740.678443498742
12-02-03,i-accomodation-food-services,40023.17023515426
12-02-03,h-transport-storage,14239.337022443815
12-02-03,f-construction,10806.758160202427
12-02-03,d-electricity-gas-etc,2406.1481594257057
12-02-03,c-manufacturing,40788.964163029195
12-02-03,b-mining-quarrying,1934.894214604729
12-02-03,k-financial-insurance,21382.86512116596
12-03-02,m-professional-scientific-technical,50476.33880697473
12-03-02,g-motor-trades-wholesale-retail,90195.72715566374
12-03-02,s-other-services,8416.953790616915
12-03-02,r-arts-entertainment-recreation,10566.695598781736
12-03-02,q-human-health,58013.03817921863
12-03-02,o-public-admin,7665.9281797687745
12-03-02,n-admin-support-services,31793.26831007113
12-03-02,l-real-estate,5346.898259343909
12-03-02,p-education,35641.07750316585
12-03-02,j-information-comms,28421.721735668616
12-03-02,c-manufacturing,40375.448611973385
12-03-02,d-electricity-gas-etc,3377.187418026467
12-03-02,e-water-sewerage-waste-etc,1159.2296406670298
12-03-02,b-mining-quarrying,2189.2099391042475
12-03-02,f-construction,13434.908014594019
12-03-02,h-transport-storage,18747.050551474018
12-03-02,i-accomodation-food-services,44605.04013900475
12-03-02,k-financial-insurance,19875.04429675308
12-04-06,m-professional-scientific-technical,55711.52717323408
12-04-06,s-other-services,7336.88857849561
12-04-06,r-arts-entertainment-recreation,12493.970478759891
12-04-06,q-human-health,57964.19400331324
12-04-06,p-education,33420.07458186297
12-04-06,o-public-admin,9681.973021402324
12-04-06,n-admin-support-services,30748.983504564585
12-04-06,l-real-estate,5780.485356584386
12-04-06,g-motor-trades-wholesale-retail,64497.87073736366
12-04-06,j-information-comms,37786.39030867372
12-04-06,b-mining-quarrying,2186.1206083235656
12-04-06,c-manufacturing,40622.3866854582
12-04-06,d-electricity-gas-etc,2926.6044596111396
